"Symbol;Beschreibung;Gruppe;Basiswährung;Gewinnwährung;Dezimalstellen;Kontraktgröße;Spread;Handel_erlaubt";;;;;;;;
DOW.NYSE;Dow Inc.;Stock CFD's\NYSE\DOW.NYSE;USD;USD;3;1.0;10;Ja
GE.NYSE;General Elec Co CFD;Stock CFD's\NYSE\GE.NYSE;USD;USD;4;1.0;1000;Ja
GS.NYSE;Goldman Sachs CFD;Stock CFD's\NYSE\GS.NYSE;USD;USD;2;1.0;23;Ja
HD.NYSE;Home Depot CFD;Stock CFD's\NYSE\HD.NYSE;USD;USD;2;1.0;7;Ja
HON.NYSE;Honeywell International Inc CFD;Stock CFD's\NYSE\HON.NYSE;USD;USD;2;1.0;10;Ja
IBM.NYSE;IBM CFD;Stock CFD's\NYSE\IBM.NYSE;USD;USD;2;1.0;9;Ja
JNJ.NYSE;Johnson and Johnson CFD;Stock CFD's\NYSE\JNJ.NYSE;USD;USD;2;1.0;1;Ja
JPM.NYSE;J.P. Morgan Chase CFD;Stock CFD's\NYSE\JPM.NYSE;USD;USD;2;1.0;2;Ja
KO.NYSE;Coca Cola Co CFD;Stock CFD's\NYSE\KO.NYSE;USD;USD;4;1.0;100;Ja
LLY.NYSE;Eli Lilly CFD;Stock CFD's\NYSE\LLY.NYSE;USD;USD;2;1.0;38;Ja
LMT.NYSE;Lockheed Martin CFD;Stock CFD's\NYSE\LMT.NYSE;USD;USD;2;1.0;18;Ja
MA.NYSE;Mastercard CFD;Stock CFD's\NYSE\MA.NYSE;USD;USD;2;1.0;19;Ja
MCD.NYSE;McDonald's Corp CFD;Stock CFD's\NYSE\MCD.NYSE;USD;USD;2;1.0;10;Ja
MMM.NYSE;3M Company CFD;Stock CFD's\NYSE\MMM.NYSE;USD;USD;2;1.0;3;Ja
MO.NYSE;Altria Group Inc CFD;Stock CFD's\NYSE\MO.NYSE;USD;USD;2;1.0;1;Ja
MRK.NYSE;Merck and Co CFD;Stock CFD's\NYSE\MRK.NYSE;USD;USD;4;1.0;100;Ja
MS.NYSE;Morgan Stanley CFD;Stock CFD's\NYSE\MS.NYSE;USD;USD;2;1.0;3;Ja
NKE.NYSE;Nike CL B CFD;Stock CFD's\NYSE\NKE.NYSE;USD;USD;2;1.0;1;Ja
ORCL.NYSE;Oracle CFD;Stock CFD's\NYSE\ORCL.NYSE;USD;USD;2;1.0;2;Ja
PFE.NYSE;Pfizer CFD;Stock CFD's\NYSE\PFE.NYSE;USD;USD;2;1.0;1;Ja
PG.NYSE;Procter and Gamble CFD;Stock CFD's\NYSE\PG.NYSE;USD;USD;2;1.0;1;Ja
PM.NYSE;Philip Morris CFD;Stock CFD's\NYSE\PM.NYSE;USD;USD;2;1.0;2;Ja
SLB.NYSE;Schlumberger CFD;Stock CFD's\NYSE\SLB.NYSE;USD;USD;2;1.0;1;Ja
SPOT.NYSE;Spotify Technology SA CFD;Stock CFD's\NYSE\SPOT.NYSE;USD;USD;2;1.0;16;Ja
T.NYSE;AT and T CFD;Stock CFD's\NYSE\T.NYSE;USD;USD;2;1.0;1;Ja
TWX.NYSE;Time Warner CFD;Stock CFD's\NYSE\TWX.NYSE;USD;USD;2;1.0;1;Ja
UNH.NYSE;UnitedHealth Group CFD;Stock CFD's\NYSE\UNH.NYSE;USD;USD;2;1.0;6;Ja
UNP.NYSE;Union Pacific Cp CFD;Stock CFD's\NYSE\UNP.NYSE;USD;USD;2;1.0;1;Ja
UPS.NYSE;United Parcel Services CFD;Stock CFD's\NYSE\UPS.NYSE;USD;USD;2;1.0;2;Ja
USB.NYSE;US Bancorp CFD;Stock CFD's\NYSE\USB.NYSE;USD;USD;2;1.0;1;Ja
V.NYSE;Visa CFD;Stock CFD's\NYSE\V.NYSE;USD;USD;2;1.0;3;Ja
VZ.NYSE;Verizon Communications Inc CFD;Stock CFD's\NYSE\VZ.NYSE;USD;USD;2;1.0;1;Ja
WFC.NYSE;Wells Fargo and Co CFD;Stock CFD's\NYSE\WFC.NYSE;USD;USD;2;1.0;1;Ja
WMT.NYSE;Wal-Mart Stores CFD;Stock CFD's\NYSE\WMT.NYSE;USD;USD;2;1.0;1;Ja
XOM.NYSE;Exxon Mobil CFD;Stock CFD's\NYSE\XOM.NYSE;USD;USD;2;1.0;1;Ja
XRPUSD;Ripple US Dollar;Crypto\XRPUSD;USD;USD;4;1.0;6;Ja
XLMUSD;XLM vs US Dollar;Crypto\XLMUSD;USD;USD;5;1.0;326;Ja
DBA.NYSE;Invesco DB Agriculture ETF CFD;Stock CFD's\NYSE\ETF\DBA.NYSE;USD;USD;2;1.0;1;Ja
EEM.NYSE;Shares MSCI Emerging Markets ETF CFD;Stock CFD's\NYSE\ETF\EEM.NYSE;USD;USD;2;1.0;1;Ja
EWH.NYSE;iShares MSCI Hong Kong ETF CFD;Stock CFD's\NYSE\ETF\EWH.NYSE;USD;USD;2;1.0;1;Ja
EWW.NYSE;iShares MSCI Mexico Capped ETF CFD;Stock CFD's\NYSE\ETF\EWW.NYSE;USD;USD;2;1.0;1;Ja
EWZ.NYSE;iShares MSCI Brazil Capped ETF CFD;Stock CFD's\NYSE\ETF\EWZ.NYSE;USD;USD;2;1.0;1;Ja
FXI.NYSE;iShares China Large-Cap ETF CFD;Stock CFD's\NYSE\ETF\FXI.NYSE;USD;USD;2;1.0;1;Ja
GDX.NYSE;Vaneck Vectors Gold Miners ETF CFD;Stock CFD's\NYSE\ETF\GDX.NYSE;USD;USD;2;1.0;1;Ja
GDXJ.NYSE;VanEck Vectors Junior Gold Miners ETF CFD;Stock CFD's\NYSE\ETF\GDXJ.NYSE;USD;USD;2;1.0;2;Ja
IEMG.NYSE;iShares Core MSCI Emerging Markets ETF CFD;Stock CFD's\NYSE\ETF\IEMG.NYSE;USD;USD;2;1.0;1;Ja
LQD.NYSE;iShares iBoxx $ Invmt Grade Corp Bd ETF CFD;Stock CFD's\NYSE\ETF\LQD.NYSE;USD;USD;2;1.0;1;Ja
MOO.NYSE;VanEck Vectors Agribusiness ETF CFD;Stock CFD's\NYSE\ETF\MOO.NYSE;USD;USD;2;1.0;11;Ja
MJ.NYSE;ETFMG Alternative Harvest ETF CFD;Stock CFD's\NYSE\ETF\MJ.NYSE;USD;USD;2;1.0;18;Ja
RSX.NYSE;VanEck Vectors Russia ETF CFD;Stock CFD's\NYSE\ETF\RSX.NYSE;USD;USD;2;1.0;1;Nein
SIL.NYSE;Global X Silver Miners ETF CFD;Stock CFD's\NYSE\ETF\SIL.NYSE;USD;USD;2;1.0;1;Ja
UNG.NYSE;United States Natural Gas ETF CFD;Stock CFD's\NYSE\ETF\UNG.NYSE;USD;USD;2;1.0;1;Ja
URA.NYSE;Global X Uranium ETF CFD;Stock CFD's\NYSE\ETF\URA.NYSE;USD;USD;2;1.0;1;Ja
USO.NYSE;United States Oil ETF CFD;Stock CFD's\NYSE\ETF\USO.NYSE;USD;USD;2;1.0;1;Ja
VXX.NYSE;iPath S&P 500 VIX ST Futures ETN CFD;Stock CFD's\NYSE\ETF\VXX.NYSE;USD;USD;2;1.0;1;Nein
VXXB.NYSE;iPath B S&P 500 VIX S/T Futs ETN;Stock CFD's\NYSE\ETF\VXXB.NYSE;USD;USD;2;1.0;149;Nein
VYM.NYSE;Vanguard High Dividend Yield ETF CFD;Stock CFD's\NYSE\ETF\VYM.NYSE;USD;USD;2;1.0;1;Ja
XLE.NYSE;Energy Select Sector SPDR ETF CFD;Stock CFD's\NYSE\ETF\XLE.NYSE;USD;USD;2;1.0;1;Ja
XLF.NYSE;Financial Select Sector SPDR ETF CFD;Stock CFD's\NYSE\ETF\XLF.NYSE;USD;USD;2;1.0;1;Ja
XLI.NYSE;Industrial Select Sector SPDR ETF CFD;Stock CFD's\NYSE\ETF\XLI.NYSE;USD;USD;2;1.0;1;Ja
